date,price,service,address
2018-10-30,3.79,Astro,"1111 NW 21st Ave, Portland, OR"
2018-10-30,3.99,Chevron,"2110 NW Lovejoy St , Portland, OR"
2018-10-30,3.39,Radio Cab,"1613 NW Kearney St, Portland, OR"
2018-10-30,3.99,Chevron,"2230 W Burnside St, Portland, OR"
2018-10-30,3.45,Shell,"15 NE Broadway St, Portland, OR"
2018-10-30,3.29,76,"425 NE Broadway  St, Portland, OR"
2018-10-30,3.79,Chevron,"1967 SW 4th Ave, Portland, OR"
2018-10-30,3.45,Shell,"621 SE Grand Ave, Portland, OR"
2018-10-30,3.45,Shell,"519 NE Broadway St, Portland, OR"
2018-10-30,3.99,Shell,"2800 SW Sam Jackson Park Rd, Portland, OR"
2018-10-30,3.79,Chevron,"3435 NE Martin Luther King Blvd, Portland, OR"
2018-10-30,3.59,Shell,"1525 SE Ladd Ave, Portland, OR"
2018-10-30,3.31,76,"2020 E Burnside St, Portland, OR"
2018-10-30,3.33,Fastrak,"2431 NE Broadway St, Portland, OR"
2018-10-30,3.59,Shell,"2920 SE 10th Ave, Portland, OR"
2018-10-30,3.19,76,"5429 N Interstate Ave, Portland, OR"
2018-10-30,3.49,ARCO,"1110 SE Powell Blvd, Portland, OR"
2018-10-30,3.54,76,"5520 NE Martin Luther King Blvd, Portland, OR"
2018-10-30,3.45,Shell,"1714 NE 33rd Ave, Portland, OR"
2018-10-30,3.79,Chevron,"3435 NE Martin Luther King Blvd, Portland, OR"
2018-10-30,3.29,76,"425 NE Broadway  St, Portland, OR"
2018-10-30,3.45,Shell,"519 NE Broadway St, Portland, OR"
2018-10-30,3.45,Shell,"15 NE Broadway St, Portland, OR"
2018-10-30,3.39,76,"1510 NE 42nd Ave, Portland, OR"
2018-10-30,3.59,76,"3323 NE Killingsworth St, Portland, OR"
2018-10-30,3.69,Chevron,"4719 NE Sandy Blvd, Portland, OR"
2018-10-30,3.31,76,"2020 E Burnside St, Portland, OR"
2018-10-30,3.54,76,"5520 NE Martin Luther King Blvd, Portland, OR"
2018-10-30,3.43,Shell,"5829 NE Martin Luther King Blvd, Portland, OR"
2018-10-30,3.39,Fastrak,"5710 NE Fremont St, Portland, OR"
2018-10-30,3.45,Shell,"3840 SE Stark St, Portland, OR"
2018-10-30,3.45,Shell,"621 SE Grand Ave, Portland, OR"
2018-10-30,3.99,Chevron,"400 W Burnside St, Portland, OR"
2018-10-30,3.39,ARCO,"3840 SE Belmont St, Portland, OR"
2018-10-30,3.19,76,"5429 N Interstate Ave, Portland, OR"
2018-10-30,3.49,Shell,"5820 NE Glisan St, Portland, OR"
2018-10-30,3.49,Chevron,"14440 SE Division St, Portland, OR"
2018-10-30,3.25,ARCO,"16141 SE Division St, Portland, OR"
2018-10-30,3.49,Chevron,"14801 SE Stark St, Portland, OR"
2018-10-30,3.15,Space Age,"16211 NE Glisan St, Gresham, OR"
2018-10-30,3.39,Shell,"16331 SE Powell Blvd, Portland, OR"
2018-10-30,3.29,Shell,"18031 SE Stark St, Gresham, OR"
2018-10-30,3.35,Shell,"18145 SE Division St, Gresham, OR"
2018-10-30,3.13,ARCO,"18030 E Burnside St, Gresham, OR"
2018-10-30,3.37,76,"18222 SE Division St, Gresham, OR"
2018-10-30,3.25,Space Age,"12920 SE Stark St, Portland, OR"
2018-10-30,3.39,Chevron,"17411 SE Powell Blvd, Portland, OR"
2018-10-30,3.49,Shell,"2450 SE 122nd Ave, Portland, OR"
2018-10-30,3.25,Astro,"420 SE 122nd Ave, Portland, OR"
2018-10-30,3.27,76,"12128 E Burnside St, Portland, OR"
